track_id,track_name,artists,album_name,album_id
2U66ZFrqKAPT0AReieKuVs,Bhool Na Jaana (From “MEMORIES ARE FOREVER”),Tanveer Evan,Bhool Na Jaana (From “MEMORIES ARE FOREVER”),2K72EFdF1p8l5J2lz1Ux35
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",Planet Pit (Deluxe Version),4rG0MhkU6UojACJxkMHIXB
5w2urkV0oCHiBCo5W2fYmR,5am in Paris,Saint Levant,5am in Paris,7y18QZL66IozHqgS6MoplG
6twB0uYXJYW9t5GHfYaQ3i,ten,"Fred again.., Jozzy",ten days,3DQueEd1Ft9PHWgovDzPKh
46u5B2WN4wryYLZuMAOmI4,Hurts So Good,Astrid S,Leave It Beautiful (Complete),0inJNc0fFD60UAIdFbnedW
0FS7B5o3QyvOD8eWjnbLoO,Run Away With Me,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2oj3FG6fos7zAQJxLQGzou
1dzQoRqT5ucxXVaAhTcT0J,Just Dance,"Lady Gaga, Colby O'Donis",The Fame,1qwlxZTNLe1jq3b0iidlue
58QPfkhEGLkZeqXwZkcNv5,Smooth,The Chainsmokers,Smooth,7ojjB8vVRuwmhB9n0KMCUr
4t4rGgiVX7woTmlnW9SHJ7,Residuals,Chris Brown,11:11 (Deluxe),5onhEG8O3aKdg9b4lIdkNz
4Qm7r3ImER8S2Ori1gLMAf,Afsos,"Anuv Jain, AP Dhillon",Afsos,0RaKe6idrXFUXsqxU4VmPa
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),4AzPr5SUpNF553eC1d3aRy
3yKgOMlm0LFpm9T2AhGWJJ,GUILT TRIPPIN (feat. Sexyy Red),"Central Cee, Sexyy Red",GUILT TRIPPIN (feat. Sexyy Red),1Elc9U3hXEV7g8TMZBQY0h
06iuzVAiyOTXKJDZiVuPW4,did i tell u that i miss u,adore,did i tell u that i miss u,0pedkI7nWlHCeiluBRLF7O
1iG6H4h48zsndU5JoQs1jK,SUMMER,"Corbyn Besson, Jeremih",SUMMER,590Zhp8Jd7gSCvOwtwumA8
5VvkNZesG4T86mUULEG5Wp,Maiyya,"Sachet-Parampara, Sachet Tandon, Parampara Tandon, Kausar Munir",Do Patti,3MgVvOPyK1wPFEM9l7AQFr
23EquxExXkNmGCCY96P0Iu,Hailey,Justin Bieber,Justice (The Complete Edition),3uPnO1aZBwMgWK1DI5zve9
1vYh9x8UmFTLbXiizk9Qc5,I Believe,Jonas Brothers,Happiness Begins,1Uf67JAtkVWfdydzFFqNF2
2h4HvAKEVp9eehdkGb5Jpm,Cyanide,The Chainsmokers,So Far So Good,4nZ4dv1XvDE25Lf2MFhOqA
51hyZpbJlIgZIaX3TtMxmu,run for the hills,Tate McRae,THINK LATER,0OUOx6rJXtL66AzTnP9KUE
57DTKgkc3CjkUxg0urNl1u,I know love (feat. The Kid LAROI),"Tate McRae, The Kid LAROI",I know love (feat. The Kid LAROI),1mRCTCn8VTho47QuELtmqx
1e9jtpVUszajrfKAJKPvCS,Save My Life,Niall Horan,The Show,7CwQcswdSnPsSwQtskEmT4
7iQxWIYGzTkkLWlUscD4HP,Kya sach ho tum?,Amna Riaz,Kya sach ho tum?,0jQ4tYapUB62uhzoIEPE1n
2LSsSV7V33wM9EKQA2xjGS,Con La Brisa,"Foudeqush, Ludwig Göransson",Black Panther: Wakanda Forever - Music From and Inspired By,06RK0wX4GqHcxBtHlVoGH5
4yAKfBRVUrNisIkWrMJN16,MESS ME UP,"Chase Atlantic, Xavier Mayne",LOST IN HEAVEN,6fCGW5OWBTrtesYXjEze3h
1BP2BsfOIVn7buWEKWN0Le,never see you again,Antent,never see you again,1WnJWVMvUNtejRM7rDbdCn
2uiJtY5SHZI5dIvN7JmovH,Shelter,"Nectry, Antent",Shelter,1vsh8Ayq54a9N3XEXUT43e
2JSTZx6GJaHb1d3xLTiPuM,ALLERGIC,clide,ALLERGIC,2sNJOYvCzQMi4ZfhGWCMC5
4tTb7uAXFqI84T3ZIDBhxf,If You Leave Me,Niall Horan,The Show,7CwQcswdSnPsSwQtskEmT4
0BmRj1LXJGPAox0pl3rMbc,DIE FOR ME,Chase Atlantic,LOST IN HEAVEN,6fCGW5OWBTrtesYXjEze3h
3u947zydbp5jVgVNlaRgv4,Tere Bin Nahi Laage (Male Version),"Uzair Jaswal, Amaal Mallik, Kumaar",Ek Paheli Leela,6c4nK9brQbmS2Y2ilrvG5H
2RdEC8Ff83WkX7kDVCHseE,party 4 u,Charli xcx,how i'm feeling now,3a9qH2VEsSiOZvMrjaS0Nu
1Xy2tuw1Z2RvFiJEI538DT,When I See You,Mokita,When I See You,2U8KUTGavOcA7DtuYdM3JC
29G6ZIbACs5om1EEe9Hyon,Back To Life,ZAYN,Icarus Falls,1DF9B2hfwX4EdgEFwGcRwh
