track_id,track_name,artists,album_name,album_id
06iuzVAiyOTXKJDZiVuPW4,did i tell u that i miss u,adore,did i tell u that i miss u,0pedkI7nWlHCeiluBRLF7O
0RWLe6Dx5cWyPuB1sw6eWf,LAAVAN,"Jasmine Sandlas, Mofusion",LAAVAN,5uHvJi0f62wZqQIZae2Eah
3yKgOMlm0LFpm9T2AhGWJJ,GUILT TRIPPIN (feat. Sexyy Red),"Central Cee, Sexyy Red",GUILT TRIPPIN (feat. Sexyy Red),1Elc9U3hXEV7g8TMZBQY0h
6twB0uYXJYW9t5GHfYaQ3i,ten,"Fred again.., Jozzy",ten days,3DQueEd1Ft9PHWgovDzPKh
1iG6H4h48zsndU5JoQs1jK,SUMMER,"Corbyn Besson, Jeremih",SUMMER,590Zhp8Jd7gSCvOwtwumA8
6txAWGckgEGJIhLjhNdtE9,Residuals,Chris Brown,11:11 (Deluxe),2nM7PvY9SHEaKaSYRmOCmh
75OSVIdR2KPpEmViMt8MX2,Pal Pal (with Talwiinder),"Afusic, Talwiinder, AliSoomroMusic",Pal Pal (with Talwiinder),47HV1rQNbrAPcv15zgbTHy
5YyXq5rzZyyEbNptsLFz3W,Khwahish,"Mitraz, Arooh",Khwahish,3wKQrDBnWrzHlJHZpULojv
0BmRj1LXJGPAox0pl3rMbc,DIE FOR ME,Chase Atlantic,LOST IN HEAVEN,6fCGW5OWBTrtesYXjEze3h
1bMkimTb47umgNP6xCi4A1,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,Arz Kiya Hai | Coke Studio Bharat,5JnqJs94bARmhFoOSW3H5h
3RpCFxfsccNPDTWd3ALMaB,I'll Do It,Heidi Montag,Superficial,0MHyAAVcnhmU76kko43Cax
2yWlGEgEfPot0lv3OAjuG3,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",Just Keep Watching (From F1® The Movie),5aWEjuULckx3nnpAM9w6gY
3ZDhxzYmOMUJoyTp8IPJew,Lafz 2.0,"The Skinny guy, Jayyke",Lafz 2.0,3hwbyPSXyjHNwbmPNr4o2T
1e9jtpVUszajrfKAJKPvCS,Save My Life,Niall Horan,The Show,7CwQcswdSnPsSwQtskEmT4
7tmCrmlrJShJHcPgTzFiWl,Kinaara,"Samr8, SUPERBOY",Kinaara,7a4i1gTgGGkRsnKAAnl9EM
