track_id,track_name,artists,album_name,album_id,played_at
4yQQJ9Tj3DDYG3zgHhEgtq,"Baat (From ""Meem Se Mohabbat"")","Asim Azhar, Qirat Haider","Baat (From ""Meem Se Mohabbat"")",4RcxIGslWPqZJ4XgzmVyci,2025-11-27T09:12:57.708Z
4R6McrWJ5fpVuzsNwoukI9,SHE DON'T NEED TO KNOW,The Kid LAROI,SHE DON'T NEED TO KNOW,45oJTfBl4jrQ9nGCvYpksv,2025-11-27T03:15:26.865Z
3SAga35lAPYdjj3qyfEsCF,Feel It (From “Invincible”),d4vd,Feel It (From “Invincible”),0GHlPN101r1WcuQCwINbI2,2025-11-27T02:14:53.718Z
2FDTHlrBguDzQkp7PVj16Q,Sprinter,"Dave, Central Cee",Sprinter,5l0QlaI3wdZpE7ggoO5Rwg,2025-11-26T10:10:33.341Z
3DJVLBNKQi8fzhTWFxAzS6,Chan Kithan,Ali Sethi,Chan Kithan,4BWqJqgYMTHT8SJfIriqzz,2025-11-26T09:55:21.089Z
4vsAUbPb6q9FpC4AGBFdVh,tomorrow tonight,Loote,lost,0hc021mB0QDSF4uCTr3Ki7,2025-11-26T09:55:20.004Z
4mxX3vLu6bfhwKn3vnG53Q,Tonight,Magic Man,Before the Waves,1UBdVrk0aaya4VX1r0r3Un,2025-11-26T09:55:19.704Z
7gnN1F7GkbzjL7tRydltPv,Lavender Sunflower,Tory Lanez,Alone at Prom (Deluxe),3ZMpNkV6dz01h0U1WeiB8f,2025-11-26T09:55:19.541Z
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",Save Your Tears (Remix),2fyOpT5c9kxR8zbDh6UtXh,2025-11-26T09:55:19.492Z
4t2sMBajRuSKudtieXPgPp,Ranjish Hi Sahi,Ali Sethi,Coke Studio Season 10: Episode 1,5OFJg7KklIIfXF2xxtMCj8,2025-11-26T09:55:18.408Z
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,1woYXxyyxTQJ0E0AhZE6mj,2025-11-26T09:55:18.119Z
6soRqi7x53yQINVVnwK0GU,Bachpan,Kaavish,Gunkali (Original Score),1lCyYMOz15QK4vhcUxHxEW,2025-11-26T09:55:17.533Z
3yHyiUDJdz02FZ6jfUbsmY,"Satranga (From ""ANIMAL"")","Arijit Singh, Shreyas Puranik, Siddharth - Garima","Satranga (From ""ANIMAL"")",5mZX4EMwEyohNmVfLTDtXn,2025-11-26T09:55:17.421Z
2q8rYQmDCRdJlv0efz5K0n,Baat Unkahi,"Kaavish, Samra Khan",Baat Unkahi,51YBYjJFoQGNF7jcLIap73,2025-11-26T09:55:17.117Z
3yGDIR4j6XejzxUoU8MXxs,Moray Saiyaan,Kaavish,Gunkali (Original Score),1lCyYMOz15QK4vhcUxHxEW,2025-11-26T09:55:16.817Z
6FjbAnaPRPwiP3sciEYctO,Raabta,"Pritam, Arijit Singh",Agent Vinod,2DqQ34i4uuuZWTScsGIgHr,2025-11-26T09:55:16.805Z
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,a Gift & a Curse,5qmZefgh78fN3jsyPPlvuw,2025-11-26T09:55:16.216Z
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",Hurry Up Tomorrow,3OxfaVgvTxUTy7276t7SPU,2025-11-26T09:55:15.883Z
6x9pCndnXEoea0CMcfjs9W,n.h.i.e.,"21 Savage, Doja Cat",american dream,2RRYaYHY7fIIdvFlvgb5vq,2025-11-26T09:55:13.382Z
51VUNKCTKQSqs76NoVbdPI,Don't Let Me Drown,Burna Boy,F1 The Album,2HwRKkEp7jXbxXwcGyZYHK,2025-11-26T09:55:13.167Z
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,The Days / Nights,0h2knr6qpiAq0tV5ri5JMF,2025-11-26T09:55:12.051Z
3Mc9WnQJxBDKBHpys9O1Bw,Alienated,ZAYN,Alienated,4QaEAly7ki3AQdC8jZZC2i,2025-11-26T09:55:11.806Z
1I8TmjlLd5e7cikLHmcZNk,Messy,ROSÉ,F1 The Album,2HwRKkEp7jXbxXwcGyZYHK,2025-11-26T09:55:10.866Z
514rhnksEwHUh6LxXsQ4Y9,Back To You,Selena Gomez,13 Reasons Why (Season 2),4RpgjxgSxcRwGNuWnImneN,2025-11-26T09:55:10.242Z
0ShD5dxdAfDHx01sm20ybX,Meri Kahani,Atif Aslam,Meri Kahani,1f2TRF4pKhSzItUOHZH7fO,2025-11-26T09:55:08.925Z
4E2fOeF5A6onC10OtnjXJa,Trae The Truth in Ibiza,J. Cole,Might Delete Later,57wh3BpvUF2tmvwoGSjUe3,2025-11-26T09:55:08.539Z
6JB0h4leDJ4Akabtu42Epd,Tere Pyar Main,Kaavish,Gunkali (Original Score),1lCyYMOz15QK4vhcUxHxEW,2025-11-26T09:55:08.395Z
2q8rYQmDCRdJlv0efz5K0n,Baat Unkahi,"Kaavish, Samra Khan",Baat Unkahi,51YBYjJFoQGNF7jcLIap73,2025-11-26T09:55:08.202Z
54i9EEnoUyvgTaKLeqYCU6,Najane Kyun,Strings,Dhaani,1JV7W8JrdR7j6LRkAAk5cw,2025-11-26T09:55:06.934Z
5GTKYA7UTjPFNmIjaQ0wQ7,Daikho,Kaavish,Gunkali (Original Score),1lCyYMOz15QK4vhcUxHxEW,2025-11-26T09:55:06.039Z
6RCT5XYlsp0wvffcntgYHv,Piya Daikho,Kaavish,Gunkali (Original Score),1lCyYMOz15QK4vhcUxHxEW,2025-11-26T09:55:05.784Z
