track_id,track_name,artists,album_name,album_id
7LJL13S2cc7wrz5Am7xlPh,Prom King // Love On Acid,Tory Lanez,Alone at Prom (Deluxe),3ZMpNkV6dz01h0U1WeiB8f
31wd3JOLQpdDMkTAr1TkbM,Grey Lines,Austin George,Grey Lines,4HnuaXBXjcgF6vHANPLMAc
185Bkk01Co5sWL64zvA7BD,Up At Night,Stephen Dawes,Up At Night,5lHGdSSI9etvLGqCnuw5eb
50Re2bLgXqG9qN7v2QHNTm,Outside,Staind,Break the Cycle,2JHjVEvYNVQ9FUUMB2LcMl
1BExV8JprNJLvLeDE9qdEW,It's Been Awhile,Staind,Break the Cycle,0HogGfosAvj4tF3GTv2KIE
6FOpPA0a80RuBqqgDozvja,So Far Away,Staind,14 Shades of Grey,6PntFOrFJdHpXE9xzjhkyR
4Z0HOOCg2MrSGkRgAVlaUl,Tum Hans Diyay,Noori,Suno Ke Mein Hun Jawan,4AyNpK9PCLWHbxIX5ezvJG
3ZCBSFcZSRM9Z48ew28Zrf,Souvenir,Selena Gomez,Rare (Deluxe),5obQ9rPASQW2mLxYM8Ko6Z
3KXh1h4Yy3YEtB8Hhyfk6k,Pure Souls,Kanye West,Donda (Deluxe),2Wiyo7LzdeBCsVZiRA6vVZ
252ZECHopILLs10pMfE76N,Flip A Switch.,RAYE,My 21st Century Blues,3U8n8LzBx2o9gYXvvNq4uH
6r8w9NhDqcMY3l8SicsaDt,Riding the Blues,"Snowy White, The White Flames",Realistic,51zeuiSGSG9JNhp9tBbRCF
3JD6jyKL1lGYErYnRIdfol,Alexa Loves It,Tory Lanez,Alone at Prom (Deluxe),3ZMpNkV6dz01h0U1WeiB8f
3rJcPBI4Fr7B3UgmHqLTha,Hurts Me,"Tory Lanez, Trippie Redd, Yoko Gold",Alone at Prom (Deluxe),3ZMpNkV6dz01h0U1WeiB8f
3c8IOTEHPq5NnX5tQdWDLR,Last Kiss Of Nebulon,Tory Lanez,Alone at Prom (Deluxe),3ZMpNkV6dz01h0U1WeiB8f
2iQBgwd5ENialXutkmx8zF,Hurt From Mercury,Tory Lanez,Alone at Prom (Deluxe),3ZMpNkV6dz01h0U1WeiB8f
